,Lat,Lon,Base,Hour,Day,labels_kmeans,labels_dbscan,labels_agg
258917,40.7648,-73.9805,2,16,4,1,1,1
380431,40.7681,-73.9685,3,17,0,1,1,1
381653,40.7569,-73.9771,3,18,0,1,1,1
208652,40.7189,-73.9895,1,11,2,0,1,0
233550,40.722,-73.9964,2,18,4,0,1,0
493209,40.7093,-74.0134,3,21,2,0,1,0
287849,40.7834,-73.9789,2,18,6,1,1,1
506610,40.7236,-74.0061,3,15,4,0,1,0
439413,40.7687,-73.8627,3,20,1,4,1,2
63987,40.8735,-73.8088,1,14,6,4,-1,2
515039,40.7737,-73.8744,3,12,5,4,1,2
410000,40.784,-73.9705,3,14,4,1,1,1
218696,40.7394,-74.0069,1,23,2,0,1,0
206679,40.7613,-73.9974,1,7,2,1,1,1
383718,40.7732,-73.8857,3,21,0,4,1,2
310542,40.7253,-73.9903,2,23,5,0,1,0
78274,40.719,-73.961,1,15,2,0,1,0
355433,40.7615,-73.9978,3,16,4,1,1,1
269114,40.7744,-73.9457,2,7,1,1,1,1
108013,40.7462,-73.9567,1,11,1,1,1,0
500993,40.7562,-73.9894,3,20,3,1,1,1
476687,40.7721,-73.9673,3,13,0,1,1,1
112343,40.7619,-73.9603,1,21,1,1,1,1
354262,40.7685,-73.8624,3,15,4,4,1,2
289567,40.7329,-73.9959,2,14,0,0,1,0
92818,40.8035,-73.9651,1,23,4,1,1,1
562176,40.7678,-73.9896,4,21,3,1,1,1
387937,40.7464,-73.9795,3,15,1,1,1,1
536753,40.7083,-74.0046,3,15,1,0,1,0
536443,40.6918,-73.7639,3,15,1,2,-1,3
316553,40.7376,-74.0017,2,7,1,0,1,0
244075,40.7471,-73.9849,2,17,0,1,1,1
401248,40.7439,-73.9892,3,13,3,0,1,1
513692,40.7148,-74.0076,3,3,5,0,1,0
235432,40.7229,-73.9991,2,0,5,0,1,0
206072,40.7373,-74.0297,1,6,2,0,4,0
303804,40.7991,-73.9623,2,15,4,1,1,1
463869,40.7196,-73.9987,3,23,4,0,1,0
96496,40.7394,-73.9906,1,18,5,0,1,1
419163,40.7254,-74.004,3,17,5,0,1,0
131242,40.7178,-74.0128,1,22,4,0,1,0
160000,40.7134,-73.9903,1,9,3,0,1,0
52387,40.7601,-73.9805,1,16,4,1,1,1
109206,40.7247,-74.0017,1,15,1,0,1,0
36581,40.7611,-73.9712,1,10,1,1,1,1
230105,40.7436,-74.0033,2,1,4,0,1,0
506916,40.753,-73.9791,3,16,4,1,1,1
195465,40.786,-73.9725,1,18,0,1,1,1
223586,40.7569,-73.9732,2,14,2,1,1,1
390370,40.75,-73.9913,3,20,1,1,1,1
483800,40.7567,-73.9925,3,17,1,1,1,1
265013,40.6816,-73.9257,2,12,6,0,1,0
347324,40.7554,-73.9838,3,20,3,1,1,1
397855,40.7508,-73.9871,3,21,2,1,1,1
333722,40.7561,-73.9727,3,6,2,1,1,1
400119,40.7329,-74.0039,3,9,3,0,1,0
173121,40.7676,-73.9616,1,20,4,1,1,1
234550,40.729,-73.9972,2,21,4,0,1,0
219887,40.7244,-73.9976,2,11,1,0,1,0
486848,40.7212,-74.0026,3,6,2,0,1,0
522097,40.7298,-73.9987,3,0,6,0,1,0
367643,40.7291,-74.0112,3,20,5,0,1,0
40228,40.7636,-73.9712,1,8,2,1,1,1
515985,40.7371,-73.994,3,15,5,0,1,1
54566,40.7377,-73.9826,1,19,4,0,1,1
501718,40.7457,-73.9935,3,21,3,1,1,1
499756,40.7598,-73.9678,3,18,3,1,1,1
156778,40.7317,-73.9906,1,20,2,0,1,0
332076,40.7169,-73.9636,3,20,1,0,1,0
262054,40.7486,-73.9802,2,15,5,1,1,1
257737,40.69,-73.9823,2,11,4,0,1,0
241073,40.7253,-73.9991,2,16,6,0,1,0
304812,40.7533,-73.9699,2,18,4,1,1,1
344237,40.7794,-73.9506,3,15,3,1,1,1
444773,40.7224,-73.987,3,15,2,0,1,0
42459,40.761,-73.9851,1,18,2,1,1,1
150363,40.7576,-73.9821,1,20,1,1,1,1
301792,40.7459,-73.9997,2,22,3,0,1,0
153308,40.764,-73.9541,1,12,2,1,1,1
40992,40.7337,-74.1731,1,13,2,3,6,4
210206,40.7246,-74.0078,1,14,2,0,1,0
277404,40.7622,-73.9754,2,10,3,1,1,1
432333,40.658,-73.9825,3,20,0,0,1,0
378290,40.8381,-74.2213,3,11,0,3,-1,1
321146,40.7418,-74.0038,2,8,2,0,1,0
224286,40.7515,-74.0065,2,17,2,1,1,0
286512,40.6758,-74.017,2,1,6,0,1,0
467669,40.7215,-73.9955,3,18,5,0,1,0
304867,40.7428,-73.9844,2,18,4,1,1,1
38817,40.7499,-73.9833,1,20,1,1,1,1
553994,40.7427,-73.9997,3,22,2,0,1,1
497911,40.7482,-73.9913,3,15,3,1,1,1
499545,40.8126,-73.9629,3,18,3,1,1,2
560845,40.7598,-73.9367,4,15,6,1,1,2
170531,40.7418,-73.9936,1,16,4,0,1,1
183043,40.7222,-73.9881,1,20,5,0,1,0
512891,40.7283,-73.985,3,1,5,0,1,0
496998,40.7052,-74.0068,3,13,3,0,1,0
219268,40.717,-73.9895,2,7,1,0,1,0
141852,40.7594,-73.9634,1,10,0,1,1,1
403814,40.7625,-73.9743,3,18,3,1,1,1
511742,40.7433,-73.9563,3,23,4,1,1,0
263758,40.7995,-73.9524,2,23,5,1,1,2
527708,40.645,-73.7815,3,6,0,2,3,3
383889,40.7634,-73.9853,3,21,0,1,1,1
101842,40.7503,-73.9946,1,18,6,1,1,1
14698,40.7653,-73.9831,0,19,5,1,1,1
196268,40.7614,-73.9801,1,21,0,1,1,1
406096,40.7579,-73.9819,3,22,3,1,1,1
520858,40.7439,-73.9836,3,22,5,1,1,1
211996,40.7242,-73.951,1,16,2,0,1,0
371562,40.7313,-73.9886,3,3,6,0,1,0
544732,40.7283,-74.0055,3,11,2,0,1,0
409336,40.7849,-73.9809,3,12,4,1,1,1
435952,40.7367,-73.9842,3,14,1,0,1,1
15197,40.7272,-73.9787,0,3,6,0,1,0
294514,40.7326,-74.0033,2,8,2,0,1,0
420988,40.7436,-73.9842,3,21,5,1,1,1
230402,40.7484,-73.9805,2,6,4,1,1,1
451742,40.7555,-73.9777,3,14,3,1,1,1
508528,40.7468,-73.9858,3,18,4,1,1,1
334730,40.7223,-73.9961,3,9,2,0,1,0
247868,40.766,-73.9717,2,16,1,1,1,1
268594,40.7749,-73.9891,2,21,0,1,1,1
236793,40.7374,-73.9968,2,16,5,0,1,0
248308,40.7404,-73.9944,2,18,1,0,1,1
165920,40.7379,-73.9882,1,22,3,0,1,1
34206,40.7445,-73.9874,0,14,2,1,1,1
449782,40.7388,-74.004,3,8,3,0,1,0
466844,40.7216,-73.9934,3,16,5,0,1,0
494179,40.779,-73.772,3,3,3,4,-1,3
557671,40.788,-73.9761,4,7,3,1,1,1
43114,40.7135,-74.0101,1,20,2,0,1,0
352142,40.6936,-73.9823,3,10,4,0,1,0
196322,40.7538,-73.9835,1,21,0,1,1,1
521864,40.7223,-73.9971,3,0,6,0,1,0
